City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.92,70,100,11.06,TF,1698623339
1,yuzhno-kurilsk,44.0306,145.8556,7.99,76,4,3.67,RU,1698623476
2,arteche,12.2645,125.4048,27.39,87,95,4.64,PH,1698623479
3,tiksi,71.6872,128.8694,-16.81,99,74,3.11,RU,1698623481
4,vilyuchinsk,52.9306,158.4028,3.85,84,95,1.39,RU,1698623483
5,kharp,66.8014,65.8081,-14.3,98,100,1.38,RU,1698623486
6,rabo de peixe,37.8,-25.5833,14.73,99,40,2.68,PT,1698623488
7,egilsstadir,65.2653,-14.3948,0.95,93,75,1.54,IS,1698623491
8,el calafate,-50.3408,-72.2768,4.62,57,65,4.98,AR,1698623493
9,jamestown,42.097,-79.2353,8.9,96,100,2.06,US,1698623316
10,bishkek,42.87,74.59,12.11,39,100,2.54,KG,1698623498
11,puerto ayora,-0.7393,-90.3518,24.19,89,64,2.24,EC,1698623500
12,avarua,-21.2078,-159.775,25.03,61,40,4.63,CK,1698623503
13,yellowknife,62.456,-114.3525,-4.69,80,75,3.6,CA,1698623277
14,severo-yeniseyskiy,60.3725,93.0408,-15.79,99,93,0.89,RU,1698623508
15,codrington,-38.2667,141.9667,11.24,92,53,5.09,AU,1698623510
16,monte alegre,-2.0078,-54.0692,29.18,52,10,2.02,BR,1698623512
17,northam,51.0333,-4.2167,12.03,95,97,8.58,GB,1698623514
18,nuku'alofa,-21.1333,-175.2,28.19,74,20,7.2,TO,1698623517
19,papao,-17.75,-149.55,27.82,80,8,8.28,PF,1698623519
20,quellon,-43.1167,-73.6167,6.08,90,94,5.97,CL,1698623521
21,tazacorte,28.629,-17.9293,22.54,84,0,2.06,ES,1698623524
22,vila velha,-20.3297,-40.2925,25.97,73,0,4.63,BR,1698623376
23,kingston,17.997,-76.7936,29.53,80,20,3.09,JM,1698623403
24,jean-rabel,19.8533,-73.1917,26.82,85,98,1.36,HT,1698623531
25,crane,31.3974,-102.3501,3.15,78,100,9.08,US,1698623533
26,ixtapa,20.7,-105.2,26.16,92,87,1.14,MX,1698623536
27,grytviken,-54.2811,-36.5092,4.5,99,100,2.93,GS,1698623538
28,kavaratti,10.5669,72.642,27.97,70,95,1.13,IN,1698623541
29,antsiranana,-12.2787,49.2917,24.42,77,19,6.89,MG,1698623543
30,mogilno,52.6581,17.9558,15.56,86,100,2.24,PL,1698623545
31,aral,40.5156,81.2636,12.08,31,25,1.38,CN,1698623551
32,kargasok,59.0556,80.8572,-11.13,94,62,1.34,RU,1698623553
33,guerrero negro,27.9769,-114.0611,24.3,47,0,6.34,MX,1698623556
34,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,100,3.0,RU,1698623558
